Instrument Code 1,Customer_No,고객이름,장비명,시리얼넘버,지역,시/도,주소,고객설치일,워런티종료일,옵타입종료일,사용년,옵션
9511,54291,칼자이스 (주),VISUMAX 800,9511100589,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/12/2025,6/13/2026,,125.5,None
6216,300280471,리더스 윤안과,OPMI Lumera i,6633128920,인천,미추홀구,"주안로 107, 주안역 금강메디컬센터 9층",5/11/2025,6/12/2026,,125.5,None
6217,981314,리더스서울안과의원,OPMI Lumera 700,6634151612,울산,남구,"삼산로 269, 4층 (삼산동 탑텐 클리닉)",5/11/2025,6/12/2026,,125.5,None
6217,300277976,사직성모안과의원,OPMI Lumera 700,6634151581,부산,동래구,"아시아드대로 142, 3층",5/8/2025,5/9/2026,,0.1,None
8524,2008180,성모김안과의원,HFA3  830,830-19231,서울,강동구,"양재대로 1477, 2층 1호 (길동)",5/8/2025,5/9/2026,,0.1,None
8525,54291,칼자이스 (주),HFA3  840,840-26883,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/8/2025,6/9/2026,,125.5,None
9715,54291,칼자이스 (주),SL 800,9715170849,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/8/2025,6/9/2026,,125.5,None
9149,54291,칼자이스 (주),VISULAS combi,9149010283,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/7/2025,6/8/2026,,125.5,None
6033,54291,칼자이스 (주),EXTARO 300 Dental,6033307148,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/6/2025,6/7/2026,,125.5,None
6033,54291,칼자이스 (주),EXTARO 300 Dental,6033307158,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/6/2025,6/7/2026,,125.5,None
9137,882468,대구안과의원,Visulas YAG III,1289409,대구,남구,월배로 468(대명동),5/6/2025,5/7/2026,,0.1,None
9149,54291,칼자이스 (주),VISULAS combi,9149010281,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/6/2025,6/7/2026,,125.5,None
9604,870842,조례순천안과의원,CLARUS 700,CL700-74498,전남,순천시,순광로 14(조례동 1588-1 3층),5/6/2025,5/7/2026,,0.1,None
8708,54291,칼자이스 (주),Cirrus 5000,5000-27046,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/2/2025,6/3/2026,,125.5,None
8524,54291,칼자이스 (주),HFA3  830,830-19279,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/1/2025,6/2/2026,,125.5,None
8524,54291,칼자이스 (주),HFA3  830,830-19281,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/1/2025,6/2/2026,,125.5,None
8525,54291,칼자이스 (주),HFA3  840,840-26879,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/1/2025,6/2/2026,,125.5,None
8525,54291,칼자이스 (주),HFA3  840,840-27015,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/29/2025,5/30/2026,,125.5,None
8527,54291,칼자이스 (주),HFA3  860,860-25308,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/29/2025,5/30/2026,,125.5,None
9208,966868,마포탑안과,IOLMaster 700,9208123924,서울,마포구,도화길 43,4/29/2025,4/30/2026,,0.1,None
8525,54291,칼자이스 (주),HFA3  840,840-26876,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/28/2025,5/29/2026,,125.5,None
8524,1341335,하남미사더뷰안과,HFA3  830,830-19222,경기,하남시,"미사강변동로 127, 12층 1201~1206호",4/27/2025,4/28/2026,,0.1,None
8524,54291,칼자이스 (주),HFA3  830,830-19177,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/27/2025,5/28/2026,,125.5,None
8527,799799,양산부산대학교병원,HFA3  860,860-25028,경남,양산시,물금읍 금오로 20(양산부산대학교병원),4/27/2025,4/28/2026,4/27/2028,0.1,None
9208,54291,칼자이스 (주),IOLMaster 700,9208124004,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/27/2025,5/28/2026,,125.5,None
9715,799799,양산부산대학교병원,SL 800,9715170694,경남,양산시,물금읍 금오로 20(양산부산대학교병원),4/27/2025,4/28/2026,,0.1,None
9715,54291,칼자이스 (주),SL 800,9715170829,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/24/2025,5/25/2026,,125.5,None
6033,300282866,채움치과의원,EXTARO 300 Dental,6033304072,강원,강릉시,"솔올로5번길 55, 2층",4/23/2025,4/24/2026,,0.1,None
6225,889425,대자인병원,TIVATO 700,6643146793,전북,전주시,견훤로 390(우아동3가734-10 734-9),4/23/2025,5/24/2026,5/12/2027,0,None
6225,889425,대자인병원,TIVATO 700,6643146794,전북,전주시,견훤로 390(우아동3가734-10 734-9),4/23/2025,5/24/2026,5/12/2027,0,None
9208,1194763,센텀성모안과의원,IOLMaster 700,9208123891,부산,해운대구,"선수촌로 102-2, 5층 501호",4/23/2025,4/24/2026,,0.1,None
9208,54291,칼자이스 (주),IOLMaster 700,9208123971,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/23/2025,5/24/2026,,125.5,None
9208,54291,칼자이스 (주),IOLMaster 700,9208123983,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/23/2025,5/24/2026,,125.5,None
9208,54291,칼자이스 (주),IOLMaster 700,9208123984,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/23/2025,5/24/2026,,125.5,None
6030,1333903,정선의료재단군립병원,OPMI PICO,6627516287,강원,정선군,사북읍 지장천로 727,4/21/2025,4/22/2026,4/21/2028,0.1,None
6231,541036,한길의료재단 한길안과병원,ARTEVO 850,6649200120,인천,부평구,부평동 543-36,4/21/2025,4/22/2026,,0.1,None
8525,541036,한길의료재단 한길안과병원,HFA3  840,840-26813,인천,부평구,부평동 543-36,4/21/2025,4/22/2026,,0.1,None
8525,541036,한길의료재단 한길안과병원,HFA3  840,840-26820,인천,부평구,부평동 543-36,4/21/2025,4/22/2026,,0.1,None
9707,813588,누네안과병원,Slit Lamp SL 220,9707300063,대구,중구,"달구벌대로 2179, 2~7층(삼덕동2가, 눈빌딩)",4/21/2025,4/22/2026,,0.1,None
9707,813588,누네안과병원,Slit Lamp SL 220,9707300064,대구,중구,"달구벌대로 2179, 2~7층(삼덕동2가, 눈빌딩)",4/21/2025,4/22/2026,,0.1,None
8524,681124,홍승표안과,HFA3  830,830-19320,대구,수성구,지산동 918,4/20/2025,5/21/2026,,125.5,None
8525,54291,칼자이스 (주),HFA3  840,840-26854,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/20/2025,5/21/2026,,125.5,None
9707,1337655,동탄올바른안과,Slit Lamp SL 220,9707300062,경기,화성시,"동탄대로 489, 503호,504호,505호,506호",4/17/2025,4/18/2026,,0.1,None
9707,1337655,동탄올바른안과,Slit Lamp SL 220,9707300065,경기,화성시,"동탄대로 489, 503호,504호,505호,506호",4/17/2025,4/18/2026,,0.1,None
8525,529227,(의법)건양의료재단,HFA3  840,840-26841,서울,영등포구,영신로 136(영등포동4가),4/16/2025,4/17/2026,4/16/2028,0.1,None
6033,1342700,스마일치과의원,EXTARO 300 Dental,6033307031,전남,목포시,백년대로 360,4/15/2025,4/16/2026,,0.1,None
6033,300277982,다이아몬드치과의원,EXTARO 300 Dental,6033307008,인천,남동구,"논고개로 86, 3층",4/14/2025,4/15/2026,,0.1,None
6216,54291,칼자이스 (주),OPMI Lumera i,6633128904,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/14/2025,5/15/2026,,125.5,None
9208,1340378,희망안과,IOLMaster 700,9208123842,부산,영도구,"대교로 1, 5층 501호",4/14/2025,4/15/2026,,0.1,None
9208,941827,김안과의원,IOLMaster 700,9208123844,충북,진천군,진천읍 읍내리 101,4/14/2025,4/15/2026,,0.1,None
8525,528499,중앙대학교병원,HFA3  840,840-26784,서울,동작구,흑석로 102(흑석동),4/10/2025,4/11/2026,4/10/2028,0.1,None
6225,863202,한림대학교동탄성심병원,TIVATO 700,6643146686,경기,화성시,큰재봉길 7(석우동),4/9/2025,4/10/2026,4/9/2028,0.1,None
8524,54291,칼자이스 (주),HFA3  830,830-19254,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/9/2025,5/10/2026,,125.5,None
9208,54291,칼자이스 (주),IOLMaster 700,9208123922,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/9/2025,5/10/2026,,125.5,None
6217,1116324,아이본안과의원,OPMI Lumera 700,6634151532,충남,아산시,"배방읍 고속철대로 147, 503(우성메디피아)",4/8/2025,4/9/2026,,0.1,None
8525,54291,칼자이스 (주),HFA3  840,840-26861,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/8/2025,5/9/2026,,125.5,None
8708,951419,하늘빛안과의원,Cirrus 5000,5000-27071,경기,성남시,"내정로 172, 상지상가",4/7/2025,4/8/2026,,0.1,None
9208,1342981,리더스성모안과의원,IOLMaster 700,9208123753,서울,서초구,"방배로 83, 2층 201호",4/7/2025,4/8/2026,,0.1,None
8524,54291,칼자이스 (주),HFA3  830,830-19260,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/6/2025,5/7/2026,,125.5,None
8708,54291,칼자이스 (주),Cirrus 5000,6000-18118,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/2/2025,5/3/2026,,125.5,None
8708,54291,칼자이스 (주),Cirrus 5000,6000-18124,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",4/2/2025,5/3/2026,,125.5,None
6030,1858362,서울대학교 실험동물자원관리원,OPMI PICO,6627516443,서울,관악구,관악로 1(18동 211호),4/1/2025,4/2/2026,4/1/2028,0.2,None
8708,529235,의료법인청운의료재단,Cirrus 5000,6000-17450,대전,중구,대종로 468(대흥동),4/1/2025,4/2/2026,,0.2,None
9208,626143,남양미래안과,IOLMaster 700,9208123797,경기,화성시,"남양읍 남양성지로 147, 2층 202, 209-1호",3/26/2025,3/27/2026,,0.2,None
8714,2034152,퍼스트 성모안과의원,CIRRUS 6000,6000-14260,서울,노원구,"동일로 1405, 8층 (상계동 KB금융 노원 Plaza)",3/25/2025,3/26/2026,,0.2,None
9208,1140680,강남밝은미소안과,IOLMaster 700,9208123543,서울,강남구,"강남대로 408, 301호, 1301호(역삼동)",3/25/2025,3/26/2026,,0.2,None
6229,1000741,아이봄안과,ARTEVO 750,6649100284,충남,아산시,"배방읍 배방로14번길 9, 5층",3/24/2025,3/25/2026,,0.2,None
9208,541036,한길의료재단 한길안과병원,IOLMaster 700,9208121624,인천,부평구,부평동 543-36,3/24/2025,3/25/2026,,0.2,None
6225,835323,의료법인 문원의료재단,TIVATO 700,6643146333,서울,송파구,오금로 290,3/23/2025,3/24/2026,3/23/2029,0.4,None
8524,300278808,조은안과,HFA3  830,830-19212,대구,달서구,"조암로 1, 6층 601,602호",3/23/2025,3/24/2026,,0.2,None
6030,952171,연세덴티프로치과,OPMI PICO,6627516486,경기,고양시,중앙로 1426(주엽동),3/20/2025,4/21/2026,,125.5,None
6033,952171,연세덴티프로치과,EXTARO 300 Dental,6033307030,경기,고양시,중앙로 1426(주엽동),3/20/2025,3/21/2026,,0.2,None
6216,54291,칼자이스 (주),OPMI Lumera i,6633128884,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",3/20/2025,4/21/2026,,125.5,None
9150,1187185,범안과,VISULAS green,9150010072,경남,창원시,"원이대로 587, 4층 1-1호",3/19/2025,3/20/2026,,0.2,None
9206,800389,현탑안과,IOLMaster 500,1171768,경기,용인시,"죽전로 2, 현타워205,206,207호",3/19/2025,3/20/2026,,0.2,None
8527,1322886,밝은누리안과병원,HFA3  860,860-25046,대전,서구,"둔산로 61, 4층",3/18/2025,3/19/2026,,0.2,None
8714,1322886,밝은누리안과병원,CIRRUS 6000,6000-17921,대전,서구,"둔산로 61, 4층",3/18/2025,3/19/2026,,0.2,None
9150,600965,김안과의원,VISULAS green,9150010077,충북,청주시,사창동 151-3,3/18/2025,3/19/2026,,0.2,None
9603,805182,서울안과,CLARUS 500,CL500-56262,충남,서산시,동문동 308-23,3/18/2025,3/19/2026,,0.2,None
6030,300278400,굳건병원,OPMI PICO,6627516412,부산,사하구,"낙동대로 446, 1층, 2층, 3층, 4층, 6층",3/17/2025,3/18/2026,,0.2,None
8524,1337655,동탄올바른안과,HFA3  830,830-19202,경기,화성시,"동탄대로 489, 503호,504호,505호,506호",3/17/2025,3/18/2026,,0.2,None
8709,857262,의료법인 세경의료재단 새빛안과병원,Cirrus 500,500-38562,경기,고양시,중앙로 1065(백석동),3/17/2025,3/18/2026,,0.2,None
9017,1337655,동탄올바른안과,115 SL Classic,1211027,경기,화성시,"동탄대로 489, 503호,504호,505호,506호",3/17/2025,3/18/2026,,0.2,None
9208,1337655,동탄올바른안과,IOLMaster 700,9208122516,경기,화성시,"동탄대로 489, 503호,504호,505호,506호",3/17/2025,3/18/2026,,0.2,None
9208,934379,조병춘안과의원,IOLMaster 700,9208123592,전북,전주시,팔달로 281(서노송동),3/16/2025,3/17/2026,,0.2,None
8524,300276381,청담한세성모안과의원,HFA3  830,830-19233,서울,강남구,"학동로 433, 6층",3/12/2025,3/13/2026,,0.2,None
8524,681124,홍승표안과,HFA3  830,830-19194,대구,수성구,지산동 918,3/12/2025,3/13/2026,,0.2,None
8708,1871768,바른서울안과의,Cirrus 5000,6000-14008,경기,성남시,"느티로 27, 2층 206호 (정자동)",3/12/2025,4/13/2026,,0.2,None
8524,806168,의정부서울안과의원,HFA3  830,830-19217,경기,의정부시,"의정부동 235-17, 미림프라자 405",3/11/2025,3/12/2026,,0.2,None
8708,54291,칼자이스 (주),Cirrus 5000,6000-18032,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",3/10/2025,4/11/2026,,125.5,None
8708,54291,칼자이스 (주),Cirrus 5000,6000-18033,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",3/10/2025,4/11/2026,,125.5,None
6217,1337744,에스앤유바른안과,OPMI Lumera 700,6634151066,서울,서대문구,"증가로 145, 4층",3/6/2025,3/7/2026,,0.2,None
6217,944282,안종욱안과의원,OPMI Lumera 700,6634151484,전북,익산시,중앙로 4(중앙동 1가),3/6/2025,3/7/2026,,0.2,None
8524,1332492,류원열안과의원,HFA3  830,830-19158,부산,수영구,"수영로 693, 10층 1001호",3/6/2025,3/7/2026,,0.2,None
8524,1337744,에스앤유바른안과,HFA3  830,830-19193,서울,서대문구,"증가로 145, 4층",3/6/2025,3/7/2026,,0.2,None
8524,870719,센텀밝은빛안과,HFA3  830,830-19197,부산,해운대구,"우동 1516, 센텀타워메디컬6층",3/6/2025,3/7/2026,,0.2,None
8709,1332492,류원열안과의원,Cirrus 500,500-38546,부산,수영구,"수영로 693, 10층 1001호",3/6/2025,3/7/2026,,0.2,None
9149,1337744,에스앤유바른안과,VISULAS combi,9149010227,서울,서대문구,"증가로 145, 4층",3/6/2025,3/7/2026,,0.2,None
9208,1337744,에스앤유바른안과,IOLMaster 700,9208123612,서울,서대문구,"증가로 145, 4층",3/6/2025,3/7/2026,,0.2,None
6410,1337641,의료법인구의료재단 구병원,Pentero 800 S,6410102534,대구,달서구,감삼북길 141,3/5/2025,3/6/2026,3/5/2028,0.2,None
8708,1337744,에스앤유바른안과,Cirrus 5000,5000-27054,서울,서대문구,"증가로 145, 4층",3/5/2025,4/6/2026,,0.2,None
8714,772921,센트럴제일안과의원,CIRRUS 6000,6000-17756,경기,파주시,"경의로 1092, 401호, 406호, 407호, 408호, 501호(야당동, 유은타워3차)",3/5/2025,3/6/2026,5/23/2028,0.2,None
9208,1148255,센트럴 윤길중 안과,IOLMaster 700,9208123519,광주,서구,"죽봉대로 62, 2층 201호~205호(농성동)",3/5/2025,3/6/2026,,0.2,None
8524,1309138,온빛안과의원,HFA3  830,830-19195,충북,제천시,"용두천로 88, 2, 3층",3/4/2025,3/5/2026,,0.2,None
8525,529230,구리성모안과,HFA3  840,840-26809,경기,구리시,수택동 526-3,3/4/2025,3/5/2026,,0.2,None
8708,1309138,온빛안과의원,Cirrus 5000,6000-17841,충북,제천시,"용두천로 88, 2, 3층",3/4/2025,3/5/2026,,0.2,None
8709,787734,경산밝은안과,Cirrus 500,500-38547,경북,경산시,"중방로 17, 4층",3/4/2025,3/5/2026,,0.2,None
9208,1867920,더밝은안과의원,IOLMaster 700,9208123487,전남,순천시,"이수로 321, 4층, 5층 (조례동)",3/4/2025,3/5/2026,,0.2,None
8525,54291,칼자이스 (주),HFA3  840,840-26843,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",2/27/2025,3/28/2026,,125.5,None
9137,788642,하이뷰안과의원,Visulas YAG III,1286166,부산,부산진구,가야대로 767-1(부전동 원광메디칼센타2 3층),2/27/2025,2/28/2026,,0.2,None
6030,528496,연세대학교원주세브란스기독병원,OPMI PICO,6627516381,강원,원주시,일산로 20(일산동),2/26/2025,2/27/2026,,0.2,None
6030,529091,순천향대학교부속구미병원,OPMI PICO,6627516355,경북,구미시,1공단로 179(공단동),2/26/2025,2/27/2026,,0.2,None
6216,1105341,성모 진 안과의원,OPMI Lumera i,6633128241,서울,서초구,"강남대로 337, 4층 5층 (서초동 337)",2/26/2025,2/27/2026,,0.2,None
6217,1194013,더본안과,OPMI Lumera 700,6634151487,경기,성남시,"야탑로81번길 10, 211호, 212호",2/26/2025,2/27/2026,,0.2,None
6229,1104842,서울탑안과의원,ARTEVO 750,6649100261,충북,청주시,"강서로 122, 101호 (강서동)",2/26/2025,2/27/2026,,0.2,None
8526,528958,(재)포항성모병원,HFA3  850,850-17275,경북,포항시,대잠동길 17(대잠동),2/26/2025,2/27/2026,2/26/2028,0.2,None
6033,1339198,글로벌치과의원,EXTARO 300 Dental,6033307018,서울,용산구,"이태원로 142-1, 3층",2/25/2025,2/26/2026,,0.2,None
6033,1341340,서울초이스치과의원,EXTARO 300 Dental,6033307011,서울,영등포구,"영등포로 130, 206호",2/25/2025,2/26/2026,,0.2,None
9715,813588,누네안과병원,SL 800,9715170669,대구,중구,"달구벌대로 2179, 2~7층(삼덕동2가, 눈빌딩)",2/25/2025,2/26/2026,,0.2,None
6216,1324303,센트럴강남성모안과의원,OPMI Lumera i,6633128720,서울,강동구,"명일로 63, 일원 올림픽파크포레온 5L2F 79-83호",2/23/2025,2/24/2026,,0.3,None
6225,529154,원광대학교병원,TIVATO 700,6643146572,전북,익산시,무왕로 895(신동),2/23/2025,2/24/2026,2/23/2028,0.3,None
6229,528786,고려대학교의료원,ARTEVO 750,6649100257,서울,성북구,고려대로 73(안암동 5가),2/23/2025,2/24/2026,2/23/2028,0.3,None
9208,1324303,센트럴강남성모안과의원,IOLMaster 700,9208123518,서울,강동구,"명일로 63, 일원 올림픽파크포레온 5L2F 79-83호",2/23/2025,2/24/2026,,0.3,None
6033,1337995,뿌리사랑치과의원,EXTARO 300 Dental,6033307021,경기,파주시,"와석순환로 70, 3층",2/20/2025,2/21/2026,,0.3,None
9208,528458,(학) 가톨릭대학교부천성모병원,IOLMaster 700,9208123457,경기,부천시,소사로 327(소사동),2/20/2025,2/21/2026,2/20/2028,0.3,None
6033,1161980,인터서울치과의원,EXTARO 300 Dental,6033305983,서울,용산구,"한강대로 95, R223,224호",2/19/2025,2/20/2026,,0.3,None
6033,1161980,인터서울치과의원,EXTARO 300 Dental,6033306078,서울,용산구,"한강대로 95, R223,224호",2/19/2025,2/20/2026,,0.3,None
6033,1161980,인터서울치과의원,EXTARO 300 Dental,6033306086,서울,용산구,"한강대로 95, R223,224호",2/19/2025,2/20/2026,,0.3,None
6033,1337999,연세아이비치과의원,EXTARO 300 Dental,6033305907,경기,고양시,"중앙로 1055, 211호,212호",2/19/2025,2/20/2026,,0.3,None
6222,528815,경희의료원,OPMI Pentero 800,6641721830,서울,동대문구,경희대로 23(회기동),2/19/2025,2/20/2026,2/19/2028,0.3,None
6223,528815,경희의료원,KINEVO 900,6640124913,서울,동대문구,경희대로 23(회기동),2/19/2025,2/20/2026,2/19/2028,0.3,None
8524,1948764,평화안과의원,HFA3  830,830-19184,대구,서구,"팔달로 188, 2층 (원대동3가)",2/19/2025,2/20/2026,,0.3,None
8524,857211,밝은성모안과,HFA3  830,830-19182,대전,서구,"도마동 174-4, 엔젤클리닉 302호",2/19/2025,2/20/2026,,0.3,None
8525,528454,(학)가톨릭학원가톨릭대학교대전성모병원,HFA3  840,840-26661,대전,중구,"대흥로 64, 1층(대흥동)",2/19/2025,2/20/2026,2/19/2028,0.3,None
9140,1331632,울산제일안과의원,VISULAS 532s NH,1287360,울산,남구,"중앙로 243-1, 6층 601호",2/19/2025,2/20/2026,,0.3,None
6216,1339098,늘봄안과의원,OPMI Lumera i,6633128735,충남,천안시,"청수11로 11, 5층",2/17/2025,2/18/2026,,0.3,None
8524,1340045,김수영 안과의원,HFA3  830,830-19145,경북,포항시,"효자동길 10, 2층 202호",2/17/2025,2/18/2026,,0.3,None
6033,529153,원광대학교,EXTARO 300 Dental,6033307002,전북,익산시,익산대로 460(신동 원광대학교) 1층,2/16/2025,2/17/2026,,0.3,None
6033,529153,원광대학교,EXTARO 300 Dental,6033307006,전북,익산시,익산대로 460(신동 원광대학교) 1층,2/16/2025,2/17/2026,,0.3,None
6033,529153,원광대학교,EXTARO 300 Dental,6033307023,전북,익산시,익산대로 460(신동 원광대학교) 1층,2/16/2025,2/17/2026,,0.3,None
6033,529153,원광대학교,EXTARO 300 Dental,6033307025,전북,익산시,익산대로 460(신동 원광대학교) 1층,2/16/2025,2/17/2026,,0.3,None
6030,1337116,연세바롬치과보존과치과,OPMI PICO,6627516294,서울,성동구,독서당로 212,2/13/2025,2/14/2026,,0.3,None
8524,1996766,베스트안과의원,HFA3  830,830-19163,광주,남구,"대남대로 301, 3층(월산동)",2/13/2025,2/14/2026,,0.3,None
8525,528456,학교법인가톨릭학원가톨릭대학교인천성모병원,HFA3  840,840-26607,인천,부평구,동수로 56(부평동 외2필지),2/13/2025,2/14/2026,2/13/2028,0.3,None
8527,632309,동국대학교 의료원(일산),HFA3  860,860-25093,경기,고양시,동국로 27(식사동),2/13/2025,2/14/2026,2/13/2028,0.3,None
8527,529214,인하대학교의과대학부속병원 (인하대병원),HFA3  860,860-25006,인천,중구,인항로 27(신흥동3가),2/11/2025,2/12/2026,,0.3,None
8709,948103,김안과의원,Cirrus 500,500-38561,서울,금천구,시흥동 883-3,2/11/2025,2/12/2026,,0.3,None
9208,528457,가톨릭대학교 은평성모병원,IOLMaster 700,9208123452,서울,은평구,"통일로 1021(진관동, 가톨릭대학교은평성모병원)",2/11/2025,2/12/2026,2/11/2028,0.3,None
9208,624186,성모안과의원,IOLMaster 700,9208123486,경기,수원시,"인계동 1038-4, 학산빌딩5층",2/11/2025,2/12/2026,,0.3,None
6030,1333901,별내마리산부인과의원,OPMI PICO,6627516293,경기,남양주시,별내3로 320,2/10/2025,2/11/2026,2/10/2028,0.3,None
6217,1330712,루체안과(LUCE eye clinic),OPMI Lumera 700,6634151405,서울,서초구,"서초대로 2, 9층",2/9/2025,2/10/2026,,0.3,None
8524,1332491,송도 정안과 의원,HFA3  830,830-19166,인천,연수구,"컨벤시아대로230번길 54, 4층 에이407~410,417~420호",2/9/2025,2/10/2026,,0.3,None
